?SNDlib native format; type: network; version: 1.0
# network janos-us-ca

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  Vancouver ( -123.10 49.22 )
  LosAngeles ( -118.40 33.93 )
  SanFrancisco ( -122.38 37.62 )
  LasVegas ( -115.17 36.08 )
  SaltLakeCity ( -111.97 40.78 )
  ElPaso ( -106.40 31.80 )
  Dallas ( -96.85 32.85 )
  Houston ( -95.35 29.97 )
  OklahomaCity ( -95.90 36.20 )
  Minneapolis ( -93.38 45.07 )
  KansasCity ( -94.72 39.32 )
  Denver ( -104.87 39.75 )
  Chicago ( -87.90 41.98 )
  Indianapolis ( -86.27 39.65 )
  Detroit ( -83.02 42.42 )
  StLouis ( -90.37 38.75 )
  Nashville ( -86.68 36.12 )
  Cleveland ( -81.68 41.52 )
  NewYork ( -73.78 40.65 )
  Montreal ( -73.60 45.50 )
  Charlotte ( -80.93 35.22 )
  NewOrleans ( -90.02 29.83 )
  Boston ( -71.03 42.37 )
  Atlanta ( -84.42 33.65 )
  Miami ( -80.28 25.82 )
  WashingtonDC ( -77.04 38.85 )
  Philadelphia ( -75.13 40.00 )
  Toronto ( -79.41 43.70 )
  Pittsburgh ( -79.97 40.44 )
  Cincinnati ( -84.50 39.14 )
  Tampa ( -82.48 27.96 )
  Memphis ( -90.00 35.11 )
  Winnipeg ( -97.16 49.88 )
  Calgary ( -114.08 51.08 )
  Seattle ( -122.30 47.45 )
  Portland ( -122.65 45.53 )
  Sacrameto ( -121.46 38.56 )
  Phoenix ( -112.02 33.43 )
  SanDiego ( -117.13 32.81 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
  L0 ( Vancouver Calgary ) 0.00 0.00 0.00 0.00 ( 1008.00 405.00 )
  L1 ( Vancouver Seattle ) 0.00 0.00 0.00 0.00 ( 1008.00 123.00 )
  L2 ( LosAngeles SanFrancisco ) 0.00 0.00 0.00 0.00 ( 1008.00 327.00 )
  L3 ( LosAngeles LasVegas ) 0.00 0.00 0.00 0.00 ( 1008.00 227.00 )
  L4 ( LosAngeles SanDiego ) 0.00 0.00 0.00 0.00 ( 1008.00 102.00 )
  L5 ( SanFrancisco LosAngeles ) 0.00 0.00 0.00 0.00 ( 1008.00 327.00 )
  L6 ( SanFrancisco Portland ) 0.00 0.00 0.00 0.00 ( 1008.00 529.00 )
  L7 ( SanFrancisco Sacrameto ) 0.00 0.00 0.00 0.00 ( 1008.00 79.00 )
  L8 ( LasVegas LosAngeles ) 0.00 0.00 0.00 0.00 ( 1008.00 227.00 )
  L9 ( LasVegas SaltLakeCity ) 0.00 0.00 0.00 0.00 ( 1008.00 355.00 )
  L10 ( LasVegas Sacrameto ) 0.00 0.00 0.00 0.00 ( 1008.00 373.00 )
  L11 ( LasVegas Phoenix ) 0.00 0.00 0.00 0.00 ( 1008.00 247.00 )
  L12 ( SaltLakeCity LasVegas ) 0.00 0.00 0.00 0.00 ( 1008.00 355.00 )
  L13 ( SaltLakeCity Denver ) 0.00 0.00 0.00 0.00 ( 1008.00 368.00 )
  L14 ( SaltLakeCity Calgary ) 0.00 0.00 0.00 0.00 ( 1008.00 695.00 )
  L15 ( SaltLakeCity Portland ) 0.00 0.00 0.00 0.00 ( 1008.00 609.00 )
  L16 ( SaltLakeCity Sacrameto ) 0.00 0.00 0.00 0.00 ( 1008.00 509.00 )
  L17 ( ElPaso Dallas ) 0.00 0.00 0.00 0.00 ( 1008.00 543.00 )
  L18 ( ElPaso Houston ) 0.00 0.00 0.00 0.00 ( 1008.00 644.00 )
  L19 ( ElPaso Phoenix ) 0.00 0.00 0.00 0.00 ( 1008.00 334.00 )
  L20 ( Dallas ElPaso ) 0.00 0.00 0.00 0.00 ( 1008.00 543.00 )
  L21 ( Dallas Houston ) 0.00 0.00 0.00 0.00 ( 1008.00 210.00 )
  L22 ( Dallas OklahomaCity ) 0.00 0.00 0.00 0.00 ( 1008.00 229.00 )
  L23 ( Dallas Denver ) 0.00 0.00 0.00 0.00 ( 1008.00 630.00 )
  L24 ( Dallas Memphis ) 0.00 0.00 0.00 0.00 ( 1008.00 407.00 )
  L25 ( Houston ElPaso ) 0.00 0.00 0.00 0.00 ( 1008.00 644.00 )
  L26 ( Houston Dallas ) 0.00 0.00 0.00 0.00 ( 1008.00 210.00 )
  L27 ( Houston NewOrleans ) 0.00 0.00 0.00 0.00 ( 1008.00 308.00 )
